dataset,graph,solver,num_nodes,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,mendel_total_ms,mendel_avg_ms,demand_model,offline_opt,achieved_congestion,ratio_pct,status
Backbone,BtNorthAmerica.lgf,lp,36,152,358224,NaN,NaN,NaN,NaN,NaN,NaN,uniform,587600,3.75138e+06,638.425,OK
Backbone,BtNorthAmerica.lgf,lp,36,152,358224,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,644403,4.45208e+06,690.885,OK
Backbone,BtNorthAmerica.lgf,lp,36,152,358224,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.91515,409.863,21401.1,OK
Backbone,BtNorthAmerica.lgf,lp,36,152,378070,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,82157.8,402579,490.007,OK
Backbone,BtNorthAmerica.lgf,lp,36,152,378070,NaN,NaN,NaN,NaN,NaN,NaN,uniform,574288,4.04139e+06,703.721,OK
Backbone,BtNorthAmerica.lgf,lp,36,152,378070,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,584646,4.35139e+06,744.279,OK
Backbone,BtNorthAmerica.lgf,lp,36,152,378070,NaN,NaN,NaN,NaN,NaN,NaN,gravity,1.91515,409.863,21401.1,OK
Backbone,Carnet.lgf,lp,44,86,64887,NaN,NaN,NaN,NaN,NaN,NaN,bimodal,1.16908e+08,1.73932e+08,148.776,OK
Backbone,Carnet.lgf,lp,44,86,64887,NaN,NaN,NaN,NaN,NaN,NaN,uniform,7.0645e+08,1.3718e+09,194.182,OK
Backbone,Carnet.lgf,lp,44,86,64887,NaN,NaN,NaN,NaN,NaN,NaN,gaussian,9.45331e+08,1.49293e+09,157.927,OK
