dataset,graph,solver,demand,num_edges,total_time_ms,solve_time_ms,transformation_time_ms,mwu_iterations,avg_oracle_time_ms,achieved_congestion,offline_opt_value,status
Backbone,Backbone/atnt_cost.lgf,electrical,bimodal,76,26,25,1,12,1.58333,3133.13,738.736,OK
Backbone,Backbone/atnt_cost.lgf,ckr,bimodal,76,577,8,569,30,0,2305.24,507.1,OK
Backbone,Backbone/atnt_cost.lgf,frt,bimodal,76,7977,7628,349,21,362.667,3108.77,688.023,OK
Backbone,Backbone/atnt_cost.lgf,random_mst,bimodal,76,569,2,567,27,0,1611.78,666.219,OK
Backbone,Backbone/atnt_cost.lgf,lp,bimodal,76,15631,NaN,NaN,NaN,NaN,1768.64,548.8,OK
Backbone,Backbone/germany50.lgf,electrical,bimodal,176,152,146,6,14,10.2143,11112.9,1409.97,OK
Backbone,Backbone/germany50.lgf,ckr,bimodal,176,172183,52,172131,58,0.0344828,9137.66,1335.74,OK
Backbone,Backbone/germany50.lgf,frt,bimodal,176,NaN,NaN,64234,33,36177.8,10273.8,1186.58,OK
Backbone,Backbone/germany50.lgf,random_mst,bimodal,176,181721,8,181713,38,0,9290.66,1316.28,OK
Backbone,Backbone/1221.lgf,electrical,gaussian,18,4,3,1,9,0,208.844,76.2417,OK
Backbone,Backbone/1221.lgf,ckr,gaussian,18,1,0,1,7,0,197.265,72.2183,OK
Backbone,Backbone/1221.lgf,frt,gaussian,18,6,6,0,4,1,158.25,108.072,OK
Backbone,Backbone/1221.lgf,random_mst,gaussian,18,1,0,1,7,0,100.129,39.2909,OK
Backbone,Backbone/1221.lgf,lp,gaussian,18,24,NaN,NaN,NaN,NaN,233.104,83.2944,OK
Backbone,Backbone/1239.lgf,electrical,gaussian,138,43,41,2,16,2,2831.93,344.974,OK
Backbone,Backbone/1239.lgf,ckr,gaussian,138,28091,26,28065,59,0,1313.96,528.885,OK
Backbone,Backbone/1239.lgf,frt,gaussian,138,106421,102976,3445,35,2941.66,966.867,626.193,OK
Backbone,Backbone/1239.lgf,random_mst,gaussian,138,16388,8,16380,49,0,1704.1,397.744,OK
Backbone,Backbone/1239.lgf,lp,gaussian,138,188462,NaN,NaN,NaN,NaN,1863.44,643.453,OK
Backbone,Backbone/1755.lgf,electrical,gaussian,66,12,11,1,13,0,1293.12,187.572,OK
Backbone,Backbone/1755.lgf,ckr,gaussian,66,297,6,291,26,0,997.055,154.893,OK
Backbone,Backbone/1755.lgf,frt,gaussian,66,4473,4079,394,23,176.87,779.766,154.397,OK
Backbone,Backbone/1755.lgf,random_mst,gaussian,66,299,1,298,22,0,551.476,156.76,OK
Backbone,Backbone/1755.lgf,lp,gaussian,66,17845,NaN,NaN,NaN,NaN,709.451,179.927,OK
Backbone,Backbone/3257.lgf,electrical,gaussian,128,38,37,1,16,1.75,1891.93,189.024,OK
Backbone,Backbone/3257.lgf,ckr,gaussian,128,6663,27,6636,69,0,664.629,194.842,OK
Backbone,Backbone/3257.lgf,frt,gaussian,128,51594,50455,1139,31,1627,483.064,233.269,OK
Backbone,Backbone/3257.lgf,random_mst,gaussian,128,14762,11,14751,71,0,454.019,290.113,OK
Backbone,Backbone/3257.lgf,lp,gaussian,128,110211,NaN,NaN,NaN,NaN,417.755,170.627,OK
Backbone,Backbone/3967.lgf,electrical,gaussian,72,18,17,1,12,1.25,2679.82,352.337,OK
Backbone,Backbone/3967.lgf,ckr,gaussian,72,807,10,797,37,0,1413.4,441.821,OK
Backbone,Backbone/3967.lgf,frt,gaussian,72,7209,7058,151,17,414.647,719.994,400.302,OK
Backbone,Backbone/3967.lgf,random_mst,gaussian,72,233,1,232,19,0,702.661,278.545,OK
Backbone,Backbone/3967.lgf,lp,gaussian,72,36377,NaN,NaN,NaN,NaN,870.446,461.071,OK
Backbone,Backbone/6461.lgf,electrical,gaussian,74,15,14,1,14,0.5,611.522,90.8905,OK
Backbone,Backbone/6461.lgf,ckr,gaussian,74,313,8,305,44,0,228.418,65.0901,OK
Backbone,Backbone/6461.lgf,frt,gaussian,74,3344,3271,73,16,204,253.667,97.4893,OK
Backbone,Backbone/6461.lgf,random_mst,gaussian,74,240,2,238,33,0,251.977,120.45,OK
Backbone,Backbone/6461.lgf,lp,gaussian,74,7605,NaN,NaN,NaN,NaN,503.773,99.6077,OK
Backbone,Backbone/Arnes.lgf,electrical,gaussian,114,43,41,2,12,3.16667,12083,649.724,OK
Backbone,Backbone/Arnes.lgf,ckr,gaussian,114,6988,25,6963,47,0,5978.96,789.452,OK
Backbone,Backbone/Arnes.lgf,frt,gaussian,114,194032,192381,1651,23,8363.78,3615.01,630.812,OK
Backbone,Backbone/Arnes.lgf,random_mst,gaussian,114,3293,5,3288,36,0,2557.3,587.934,OK
Backbone,Backbone/Arnes.lgf,lp,gaussian,114,375881,NaN,NaN,NaN,NaN,6078.53,850.329,OK
Backbone,Backbone/BBNPlanet.lgf,electrical,gaussian,56,12,11,1,8,1,115407,9931.64,OK
Backbone,Backbone/BBNPlanet.lgf,ckr,gaussian,56,117,5,112,18,0,50743.7,12415.1,OK
Backbone,Backbone/BBNPlanet.lgf,frt,gaussian,56,7847,7793,54,10,778.7,46909.6,12434.1,OK
Backbone,Backbone/BBNPlanet.lgf,random_mst,gaussian,56,120,1,119,15,0,63915.9,10200.7,OK
Backbone,Backbone/BBNPlanet.lgf,lp,gaussian,56,14594,NaN,NaN,NaN,NaN,65905.6,14453.7,OK
Backbone,Backbone/BICS.lgf,electrical,gaussian,96,26,25,1,11,1.81818,103322,13372.3,OK
Backbone,Backbone/BICS.lgf,ckr,gaussian,96,2258,31,2227,64,0,24980.7,11476.7,OK
Backbone,Backbone/BICS.lgf,frt,gaussian,96,56624,56128,496,18,3117.56,25385.1,12012.5,OK
Backbone,Backbone/BICS.lgf,random_mst,gaussian,96,716,3,713,23,0,25373.8,12777.6,OK
Backbone,Backbone/BICS.lgf,lp,gaussian,96,112791,NaN,NaN,NaN,NaN,30242.8,15336.6,OK
Backbone,Backbone/BellCanada.lgf,electrical,gaussian,128,57,55,2,12,4.25,396055,14332.3,OK
Backbone,Backbone/BellCanada.lgf,ckr,gaussian,128,18159,48,18111,66,0.0151515,53322.2,16457.8,OK
Backbone,Backbone/BellCanada.lgf,frt,gaussian,128,399450,396683,2767,18,22037.4,67417,18601.7,OK
Backbone,Backbone/BellCanada.lgf,random_mst,gaussian,128,2746,4,2742,20,0,43237.5,22332,OK
Backbone,Backbone/BellCanada.lgf,lp,gaussian,128,901451,NaN,NaN,NaN,NaN,87398,16349.2,OK
Backbone,Backbone/BellSouth.lgf,electrical,gaussian,132,64,60,4,11,5,230935,20475.7,OK
Backbone,Backbone/BellSouth.lgf,ckr,gaussian,132,4398,48,4350,54,0.0185185,26959,18170.6,OK
